agyögwëh	agyö gwë h
waëögo’	wa ë ögo ’
o’gagweni’	o’ ga gweni ’
dogësgowah	dogës gowah
o’shagonöhgödë’	o’ shago nöhgödë ’
agyeisdöh	ag yeisdö h
högwëh	h ögwëh
wadiögo’	wa di ögo ’
ëöjënöni’	ëö jënöni ’
niyonö’net	ni yo nö’ne t
ëgwadwënögahdë’	ë gwa dwënögahdë ’
ageksa’dëögwëh	age ksa’dë ögwëh
eonöjoö’	eonö joö ’
shagodës	shago dë s
ësgwëdëhsek	ësgwëd ëhsek
waanyo’	waa nyo ’
da’adinyo’	da’ adi nyo ’
awëiyoh	aw ë iyo h
së’ëh	së’ëh
wa’odö’öje’	wa’ o dö’ öje’
waadö’	wa adö ’
ganökda’	ga nökd a’
ësa’nöhgödë’	ë sa ’nöhgöd ë’
dwahsa’	d w ahsa ’
dijahsawëh	di ja hsa wëh
ëgahsawë’	ë g ahsawë ’
heyohsa:’	he yo hsa :’
nö’gë’gwah	nö’gë’gwah
agawëh	ag awë h
ögwawëgëö’	ögw awë gëö’
o’tahsa’get	o’t ahsa’get
o’wayagës	o’ w ayagë s
hoyaköh	ho yak öh
sa’gwah	sa’gwah
ganö’gwes	ga nö’gwes
gashaisdowanëh	ga shaisdowanë h
deigowanëh	de i gowanëh
tgowanës	t go wanë s
degäwisdaöh	de gä wisdaö h
hësgaho’	hë s gaho ’
gais	ga is
dzësda’ë:’	dzësda’ë: ’
gohgwasöh	goh gwa söh
ojiwë’da’	o jiwë’d a’
yo’jiyös	y o’jiyö s
shödowähgowah	shödowäh gowah
onöhgwagai’ni’	o nöhgwagai’ni’
gaöyo’	ga öyo ’
yeya’dëöje’	ye ya’dë öje’
haya’da’geh	ha ya’d a’ geh
de’o’nëya’	de’ o ’nëya ’
dwatgeö’	d w atgeö ’
ëshadöhe’t	ë sh adöhe’ t
hanyasdagöh	ha nyasd agöh
ehda’geh	ehd a’ geh
dewagënönya’göh	de wag ënönya’g öh
yötöwisata’	y ötöwisat a’
yënëshahasta	y ënëshahast a’
oikdatgi’	o ikdatgi ’
o’tayanö’dahgwiya’k	o’t a yanö’dahgwi ya’k
o’töwöwasas	o’t ö wöwasas
odädzö’	o d ädzö ’
yenö’gwa’geh	ye nö’gwa’ geh
honösgoöh	honö sgo öh
hënödaja’teh	hënö daj a’t eh
o’dwagyë’hihdë’	o’d wag yë’hihdë ’
dewagaja’gih	de waga ja’gi h
osgawagöh	osga wa göh
da’deyoni’ö:’	da’ de yo ni’ ö:’
wahnöhsöni’	wah nöhs öni ’
gwanënoh	gwanënoh
onënoshä’	o nënosh ä’
o’gënis’ohtë’da:’	o’ g ënis’ohtë’da :’
agötwëh	ag ötwë h
o’dwadä’nega:’	o’d w adä’nega :’
o’gehsadö:’	o’ ge hsadö :’
osgawa’	o sgaw a’
odiwade’	o diwade ’
dayëhö:’	d a yë hö:’
dzonyo’gwes	dzo nyo’gw es
ëögöshe’daninö’	ëögö she’daninö ’
göwöninöh	göwö ninö h
ojisdanohgwëö’	o jisdanohgwëö ’
hadiyashö’	hadi yashö ’
de’göwöyas	de’ göwö ya s
šasöh	ša sö h
gayasönö’	ga yasö nö’
nö’göka’	nö’göka’
owänöe’shö’öh	o wänöe’shö’öh
hodiöwö’shö’öh	hodi öwö’ shö’öh
ho’sehdayë’	ho ’sehda yë’
ögweh	ö gweh
hëöshëö’	hëöshëö’
esniwayeis	e sn iwayei s
odiöniaje’	o diöni aje’
haawi’s	ha awi ’s
hegawi’s	heg awi ’s
o’gidzayenö:’	o’ g idza yenö :’
ösagahgëni’	ö sa gahgëni ’
tëhdähdane’	tëhdähdane ’
wanösgai’	wa nösgai ’
oiwa’geh	o iwa’ geh
gayogweonö’	ga yogwe onö’
ogaehda’	o gaehda ’
niyökiya’do’dësdöh	ni yöki ya’d o’dësdöh
nö’donënishägeh	nö’do nënishäge h
yöjëdahgwa’	yö jëdahgw a’
dzaenös	dzaenös
dzodö’öh	dzo dö’ öh
sadahgwadenih	s adahgwa deni h
o’tgadisja’kö:’	o’t g adisja’kö :’
hënödëshe’	hënö dëshe ’
sadowih	s adowi h
waoshe:’	waoshe:’
hadishe’s	hadishe’s
nëyagyadi’sdaë’	në yagy adi’sdaë ’
gadahosgwa’geh	g adahosgw a’ geh
osae’da’	osae’da’
hadihsënowanë’sgwa’	hadi hsënowanë ’sgwa’
goawak	go awak
yeksa’ah	ye ksa’ah
deniksa’ah	deni ksa’ah
swaksa’shö’öh	swa ksa’ shö’öh
degaksa’dageh	de ga ksa’dage h
ohgaa’	o hga a’
waöwöya’dägo’	wa öwö ya’d ägo ’
ganëita’	ga nëit a’
ga’säde’	ga ’säde’
ga’daa’	ga ’da a’
yöne’shäde’	y öne’shäde ’
dagaja’dën	da g aja’dë n
saja’dën	s aja’dë n
hä’tës	h ä’të s
deyögwada’swekö’	de yögw ada’swekö ’
ëshahodö:’	ës ha hodö :’
dosgëh	dosgëh
dwatgeö’	dw atgeö ’
hajanöt’ah	h ajanöt’ ah
onegajih	o negaji h
gotowinyö’seh	go towinyö’se h
ëganö’nostak	ë ga nö’nost ak
onyaa’	o nya a’
goögwëh	go ögwëh
o’daishä’	o ’daish ä’
ganöhda’	ga nöhd a’
sadotgah	s adotgah
ëtösënök	ët ösë nök
de’shakdös	de’ sh akdö s
wa’öhget	wa’ ö hget
ho’wahget	h o’ wahget
gökdöne’	gö kdön e’
itet	it et
tödayën	t öday ën
nödaëne:’	nöda ën e:’
ëyoäk	ë yo äk
waënödiwis’a:’	waënö diwis’ a:’
odöhedöh	o döhed öh
ëgadwiyäkdönö’	ë gadwiyäkdön ö’
o’wadä’nëdahsi’	o’ w adä’nëdahsi ’
dae’	d a e ’
tganödayë’	t ga nödayë’
ganödagwëhda:’	ga nödagwëhda :’
agiwihsa’öh	ag iwihsa’ öh
hasdeista’	h asdeist a’
ëhniwaniyät	ë hn iwaniyät
dëyago’nigöhgëni’	dë yago ’nigöh gëni’
eodigayëh	eodi gayë h
ëwödak	ë w ödak
asgënö’gëök	as g ënö’g ëök
ëhse’nisdo:’	ë hse ’nisdo :’
aknö’dzot	ak nö’dzot
ëgaih	ë ga i h
yödeyas	yö deya s
ojiä’	o ji ä’
onö’	o n ö’
ojigwës	o jigwë s
otgi’	o tgi ’
gëöshä’	g ëösh ä’
ogösgwi’ä’	o gösgwi’ ä’
ëgadöishëdahgwak	ë g adöishë dahgwak
agahsa’gëh	ag ahsa’ gëh
yöshedas	yö shed as
geih	geih
agadawe’sëöh	ag adawe’së öh
ëkwahsö:’	ë k wahsö :’
wa’e’howek	wa’ e ’howek
ganö’gwat	ga nö’gwat
yeöshë’	ye öshë ’
deyötšosgwine’s	de yö tšosgwine ’s
hayanö’dahgwa’	ha yanö’ dahgwa’
wadehšöni’	wa dehšöni ’
gëhowanëh	gë ho wanëh
hotgënih	ho tgëni h
dëöëjiya’ktak	dë öëjiya’kt ak
nö’desoshiya’göh	nö’des oshiya’g öh
o’tgyaya’k	o’t g yaya’k
dewata’se:’	de w ata’se:’
gëjohgwasdë:’	gë johgwasdë :’
shënösdëönyöh	s hënö sdëönyö h
gasdaha’	g asdah a’
gosda:’	go sd a:’
degawisdageh	de ga wisdage h
gayadöshä’	ga yadösh ä’
wa’agwayëja’k	wa’ agwa yëja’k
hodatenëh	ho datenë h
ëhšya’k	ë hš ya’k
hanö’gwatënyeta’	ha nö’gwatënyet a’
waënëni’dze:’	waën ëni’dze :’
dedwat	de dwa t
wajih	w aji h
ëyo’gäh	ë yo ’gä h
hagesa’	hage sa’
ohë’šönyöh	o hë’šönyö h
sayohë’t	sa yo hë’ t
ëwënishädek	ë w ënishäde k
niawënishägeh	ni a wënishäge h
de’ga’swegöh	de’ g a’sweg öh
wayadiwis’a:’	wa y adiwis’ a:’
honyögwaiyo’	ho nyögwaiyo’
waëni’dodë’	wa ëni’dod ë’
o’tgya’dowet	o’t g ya’dowet
waiya’daa’t	wa i ya’daa’ t
dewagya’dowehdöh	de wag ya’dowehd öh
ojihaya’	o jihay a’
ëgö’šodägo’	ë gö ’šodägo ’
agieyöh	ag iey öh
ganyo’agwah	ganyo’agwah
aknoö’	ak noö ’
dawaknoö’	da wak noö ’
ge’eohdogwas	ge ’eohdogwa s
ho’gwa’nigöëgahdë’	ho’ gwa ’nigöëgahdë ’
onöhsatgi’	o nöhs atgi ’
ho’wahdö’	ho’ w ahdö ’
deyodëhsëögwëh	de yo dëhsëög wëh
gaënö’	ga ën ö’
sadaweodëh	s adaweod ëh
toiwadiyödanih	t o iwadiyödani h
o’wënöda’säh	o’ wënö da’säh
