source		word		segmentation
false_face		ëgátšonyá:n:’		ë-k-athrory-a-hnö-:’
false_face		nijáwësdáhgöh		ni-t-yaw-ë-st-a-hk-öh
false_face		shagojowéhgo:wa:h		shako-atyowe-h-kowa:h
false_face		odadö:ni:h		o-atat-öni-:h
false_face		yeyá’dade’		ye-ya’t-a-te-’
false_face		hö:gweh		h-ökweh
false_face		do:dawënye:ae’		te-ho-atawëny-h-atye-’
false_face		hodowädö:je’		ho-atorat-öh-atye-’
false_face		gahadagö:sh’		ka-rhat-akö-shö’
false_face		nö’ö:wëh		n-a’-yaw-ëh-0
false_face		hotö:de’		ho-athöt-e’
false_face		wa’ósdöwë’säga:eh		wa’-yo-stawë’sr-a-kar-eh
false_face		o’ta:da’t		o’-t-ha-ta’-t
false_face		wa:dáöhdi:yos		wa’-ha-at-ahöht-iyo-hst-0
false_face		wá:öga’t		wa’-ha-ahrök-a-’t-0
false_face		hé:gwa:h		heh-kwa:h
false_face		nitawe:nö:h		ni-t-haw-en-ö:h
false_face		sá:hge:t		s-a-ahket-0
false_face		niyo:we’		ni-yo-re-’
false_face		ha’dösa:da’t		ha’-t-ö-s-a-ta’-t
false_face		sa:dáöhdi:yos		s-a-ha-at-ahöht-iyo-hst-0
false_face		Ne’hó:gwa:h		ne’hoh-kwa:h
false_face		sá:öga’t		s-a-ha-ahrök-a-’t-0
false_face		hé:gwa:h		heh-kwa:h
false_face		nö’döda:e’		na’-t-ö-t-a-h-e-’
false_face		okji’geot		o-ktsi’gar-ot-0
false_face		deyóswë:de’		te-yo-swëte-’
false_face		wa:atis		wa’-ha-athihst-0
false_face		wá:tgato’		wa’-ha-atkatho-’
false_face		wa:agë’		wa’-ha-kë-’
false_face		wa:ogë’		wa’-ho-kë-’
false_face		i:at		i-ha-t-0
false_face		niú’u:h		ni-hu-u’uhuh
false_face		shagojowéhgo:wa:h		shako-atyowe-h-kowa:h
false_face		tgaye:i’		t-ka-yeri-’
false_face		ga’no:wa’		ka-’now-a’
false_face		ha:a’		ha-haw-’
false_face		tagösgaha:t		t-ha-köhs-karhat-0
false_face		tgaye:i’		t-ka-yeri-’
false_face		hota:’		ho-hthar-’
false_face		gagöhsa’		ka-köhs-a’
false_face		nigawënó’dë:h		ni-ka-wën-o’të-:h
false_face		sá:hdë:di’		s-a-ha-ahtëti-’
false_face		heawe:nö:h		he-haw-en-ö:h
false_face		wá:ga’ë:yö:’		wa’-ha-ka’ëyö-:’
false_face		dagáiwadiyö:dë’		t-a-ka-rihw-a-tiyöt-ë’
false_face		Dayótgë’ö:je’		t-a-yo-tkrë’-öh-atye-’
false_face		hesho:yö:h		he-s-ho-yö-:h
false_face		nitë’jöda:je’s		ni-t-ha-i’tröt-atye-’s
false_face		jodé’hasdö’		t-yo-ate-’hast-ö-’
false_face		ho’döhgóëöh		ho-’töhkorëh-öh
false_face		tgwëhäd:’ë:’		tkwëhtar-a-’ë:’
false_face		niáya’dó’dë:h		ni-ha-ya't-o'të-:h
false_face		ná:di:ye:’		n-aa-hati-yer-’
false_face		naöwöya’dágeha’		n-aa-höwa-ya’t-a-kenh-a’
false_face		wa’a:wëh		wa’-yaw-ëh-0
false_face		o’gagwe:ni’		o’-ka-kweni-’
false_face		wá:tšonyá:nö:’		wa’-ha-athrory-a-hnö-:’
false_face		niyó’dë:h		ni-y-o’të-:h
false_face		wá:tgato’		wa’-ha-atkatho-’
false_face		wá:dihšö:ni’		wa’-hati-hsröni-’
false_face		gagöhsa’		ka-köhs-a’
false_face		o’tadiyëöda:ak		o’-t-hati-yerötar-a-hk-0
false_face		wá:tšo:wi’		wa’-ha-athrori-’
false_face		nigáya’dó’dë:h		ni-ka-ya’t-o’të-:h
false_face		tgaye:i’		t-ka-yeri-’
false_face		wa:diyë’gwahsö:nye:t		wa’-hati-yë’kw-a-hsöry-e:ht-0
false_face		waëndišk		wa’-hën-at-öhisyöhk-0
false_face		sgë:nö’		s-ka-inö-’
false_face		hö:saya:wëh		h-öö-sa-yaw-ëh-0
false_face		niyó’dë:h		ni-y-o’të-:h
false_face		dagáiwadiyö:dë’		t-a-ka-rihw-a-tiyöt-ë-’
false_face		nö’ö:wëh		n-a’-yaw-ëh-0
false_face		hö:saya:wëh		h-öö-s-a-yaw-ëh-0
false_face		tgaye:i’		t-ka-yeri-’
false_face		niyoweje’		ni-yo-re-tye-’
false_face		háigóta’		ha-rihökoht-ha’
false_face		shagojowéhgo:wa:h		shako-atyowe-h-kowa:h
false_face		wáöwö’géosäh		wa’-höwa-a’këhr-osrah-0
false_face		o’wadënöhdë:di’		o’-w-atrënahtëti-’
false_face		hoënö’		ho-rën-a’
false_face		dawënöhdö:’		t-a-w-ënöhtö-:’
false_face		gaënö’		ka-rën-a’
false_face		nigaënó’dë:h		ni-ka-rën-o’të-:h
false_face		o’wádi:wáhdë:di’		o’-w-at-rihw-ahtëti-’
false_face		de’tónöhdö’		te’-t-ho-ënöhtö-’
false_face		nö’wö:dih		n-a’-w-ati-h
false_face		niyo:we’		ni-yo-re-’
false_face		o’kdá’öh		y-o’kta’-öh
false_face		gayá’dagéhashä’		ka-ya’takenh-a-hshr-a’
false_face		ëyagodö:’s		ë-yako-atöha’s-0
false_face		sö:di’gwah		sö:-ti’gwah
false_face		ëtgáiwadiyö:dë’		ë-t-ka-rihw-a-tiyöt-ë’
false_face		oyëdeté’öh		o-yëtethe’-öh
false_face		ogwe:nyö:h		o-kweny-ö:h
false_face		ëshagodiya’dágeha’		ë-shakoti-ya’takenh-a’
false_face		shagojowéhgo:wa:h		shako-atyowe-h-kowa:h
false_face		gayë’götwëh		ka-yë’kw-öthw-ëh
false_face		hëyowënöwi:sat		h-ë-yo-wën-awisaht-0
false_face		waodiyë’gwahsö:wi’		wa’-hoti-yë’kw-a-hsöri-’
false_face		nigë:öje’		part-ka-rö-h-atye-’
false_face		odöëdzajëönyö’		o-at-öhwëts-a-te-hönyö-’
false_face		todíawíhdahgöh		t-hoti-hawihtahk-öh
false_face		ga’hásdeshä’		ka-’haste-hshr-a’
false_face		do:dinö’go:’		te’-hoti-na’kor-’
false_face		da’agagwe:ni’		te’-a-ka-kweni-’
false_face		ögwé:neh		ökweh-neh
false_face		áëné’se:k		aa-hën-e-’s-ek
false_face		shagojowéhgo:wa:h		shako-atyowe-h-kowa:h
false_face		niënö’s’à:h		ni-hën-a’s’ahah-0
false_face		desgayëödä:hgöh		te-s-ka-yërötar-a-hk-öh
false_face		ogwényös’öh		o-kweny-ö-hs’-öh
false_face		todiyö’dáhgöh		t-hoti-yö’tahk-öh
false_face		ga’hásdeshä’		ka-’haste-hshr-a’
false_face		honödö’se:’öh		hon-atö’se-’-öh
false_face		ögwé:neh		ökweh-neh
false_face		gagëöda:je’		ka-kehöt-atye-’
false_face		gahšö:ni:h		ka-hsröni-:h
false_face		o:wë’gä:’		o-hwë’kar-a’
false_face		gayä:’dahgöh		ka-yera’t-a-kw-öh
false_face		hodiyë’gwáhsönye:hdöh		hoti-yë’kw-ahsöri-e:ht-öh
false_face		ga’hásdeshä’		ka-’haste-hshr-a’
false_face		odö’öh		o-atö’-öh
false_face		ëshagoyá’dage:ha’		ë-shako-ya’takenh-a’
false_face		ëtgáiwadiyö:dë’		ë-t-ka-rihw-a-tiyöt-ë’
false_face		tsa’dë:wön		tsha’-t-ë-w-aht-0
false_face		hodigwenyö:h		hoti-kweny-ö:h
false_face		nëtadiyä:’dak		n-ë-t-hati-yera’tahk-0
false_face		ëgayëdétehšö:ni’		ë-ka-yëtethe-hshr-öni-’
false_face		do:nödöëdzo:nih		te-hon-atöhwëtsoni-h
false_face		na:shagotiyá’dage:ha’		n-aa-shakoti-ya’takenh-a’
false_face		jóíwadi:yö:n		t-yo-rihw-a-tiyöt-0
false_face		nigí:wayëde:ih		ni-k-rihw-a-yëter-ih
false_face		niyóiwá’geh		ni-yo-rihw-a-’keh
arrival_of_spring		Wë:ntši:yo:h		w-ëhnishr-iyo-:h
arrival_of_spring		ogwásdöh		o-kwahst-öh
arrival_of_spring		Awëdetgä:de’		aw-ëtetgarat-e’
arrival_of_spring		knigö:ë’		k-niköhr-a-r-’
arrival_of_spring		ëwödi’no’t		ë-wati-’no’-t
arrival_of_spring		Gawëni:yo:h		ka-wën-iyo-:h
arrival_of_spring		ëhsádi:wátö:dëh		ë-hs-at-rihw-athöt-ëh
arrival_of_spring		ëdzo:hë’t		ë-s-yo-rhë’-t
arrival_of_spring		dëyógëhö:di’		t-ë-yo-gënhöti-‘
arrival_of_spring		dëgánöe’t		t-ë-ka-nöhwe-’-t
arrival_of_spring		ëshënidzó’yaka’		ë-s-hën-its-o’hak-h-a’
arrival_of_spring		Ge:gëh		ke-kë-h
arrival_of_spring		ga’séhdagéödö’		ka-'seht-a-kehöt-ö-’
arrival_of_spring		onödagó:gwa:h		o-nöt-akö:h-kwa:h
arrival_of_spring		nëdwë:ne:’		n-ë-t-wën-en-’
arrival_of_spring		de’ónesdo:h		te’-yo-nehsto-:h
arrival_of_spring		hadiye:nö:s		hati-yenö-s
arrival_of_spring		Onenöje’		o-nena-tye-’
arrival_of_spring		Ö:dawënödáwë:ën		ö:-t-a-wën-at-awëhët-0
arrival_of_spring		wa:ëni’		wa’-hën-i-’
arrival_of_spring		Dëyógëhö:di’		t-ë-yo-kënhöti-’
arrival_of_spring		Ha’de:yö:h		ha’-te-y-ö-:h
arrival_of_spring		ëswödoja:k		ë-s-w-at-otyak-0
arrival_of_spring		We:so’		w-eso-’
arrival_of_spring		hënidzo’ya:s		hën-its-o'yak-s
arrival_of_spring		tšihsögwe’da:se:’		tsi-hs-ökwe’t-ase-:’
arrival_of_spring		ëwöknö:’s		ë-wak-norö-’s-0
arrival_of_spring		o’gátgëhjis		o’-k-at-këhtsi-hst-0
arrival_of_spring		knöe’s		k-nöhwe’-s
arrival_of_spring		gëhögöshö’		ka-iyh-akö-shö’
arrival_of_spring		ëgadawënye’ha’		ë-k-at-awënye-’h-a’
arrival_of_spring		awëdetgä:de’		aw-ëtetkarat-e’
arrival_of_spring		Gadögweta’		k-atökwet-ha’
arrival_of_spring		o’gënöda:snën		o’-k-ë-nöt-anëht-0
arrival_of_spring		o’jáknyadä’t		o’-t-yakny-atra’-t
arrival_of_spring		hëdzó’ya:s		ha-its-o’yak-s
arrival_of_spring		onödagö:h		o-nöt-akö:h
arrival_of_spring		hë:nödásnëta’		he-h-ë-nöt-asnëht-ha’
arrival_of_spring		Wa:gadëyogwáhdë’		wa’-hak-atëyokwaht-ë’
arrival_of_spring		o’gajë:gwah		o’-k-atyërëkw-ah
arrival_of_spring		o’jáknyadä’t		o’-t-yakny-atra’-t
arrival_of_spring		de:egë:’		te’-he-kë-:’
arrival_of_spring		Agáta:ine’		wak-at-hah-ine-’
arrival_of_spring		o’gajë:gwah		o’-k-atyërëkw-ah
arrival_of_spring		hada:je’s		ha-t-atye-’s
arrival_of_spring		o’jáknyadä’t		o’-t-yakny-atra’-t
arrival_of_spring		hëdzó’ya:s		ha-its-o’yak-s
arrival_of_spring		Waënöda:snën		wa’-h-ë-nöt-asnëht-0
arrival_of_spring		De’shóió’de’		te’-s-ho-riho’t-e’
arrival_of_spring		hodöishë’		ho-atöhishë-’
arrival_of_spring		Waënöda:snën		wa’-h-ë-nöt-asnëht-0
arrival_of_spring		ëödögwe:ta:k		ë-h-atökwet-ha-k
arrival_of_spring		i:eh		i-h-er-h
arrival_of_spring		o’tadawënye’ha’		o’-t-h-atawënye-’h-a’
arrival_of_spring		gëhögöshö’		ka-iyh-akö-shö’
arrival_of_spring		wa:e’		wa’-h-e-’
arrival_of_spring		ësganenö:nyö:’		ë-s-ka-nena-nyö-:’
arrival_of_spring		ostö:h		o-sthw-ö:h
arrival_of_spring		wá:at		wa’-ha-hraht-0
arrival_of_spring		háéo’dë:öwi’		ha-heho’t-ëhawi-’
arrival_of_spring		Wa:dowä:te’		wa’-ha-atorat-e’
arrival_of_spring		Ganö:ge’		ka-nakre-’
arrival_of_spring		gwa’yö:’		kwa’yöh-a’
arrival_of_spring		ganö:ge’		ka-nakre-'
arrival_of_spring		hojiyä’shö’		ho-tsir-a’-shö’
arrival_of_spring		honösgwayë’		ho-naskw-a-yë-’
arrival_of_spring		nekó:gwa:h		nekoh-kwa:h
arrival_of_spring		wënödo:wä:s		wën-atorat-s
arrival_of_spring		nigëjohgwa’		ni-ityohkw-a’
arrival_of_spring		hadishe’s		hati-hshe-’s
arrival_of_spring		gwa'yö:’		kwa'yöh-a’
arrival_of_spring		Nekógwa:h		nekhoh-KWA:H
arrival_of_spring		o’wado:gën		o’-w-atokëht-0
arrival_of_spring		otši’wä:k		o-tshi’war-ahk
arrival_of_spring		Oja:nön		o-atyahaht-0
arrival_of_spring		De’sganöge’		te’-s-ka-nakre-’
arrival_of_spring		De’shadiye:ha’		te’-s-hati-yer-ha’
arrival_of_spring		jiyä’shö'öh		tsira-’shö’öh
arrival_of_spring		hanöe’s		ha-nöhwe’-s
arrival_of_spring		Dewáöhde:s		te-w-ahöht-es-0
arrival_of_spring		gaya:söh		ka-yas-öh
arrival_of_spring		Dewáöhde:s		te-w-ahöht-es-0
arrival_of_spring		hadiyasta’		hati-yast-ha’
arrival_of_spring		Awëdetgä:de’		aw-etetkarat-e’
arrival_of_spring		dösayogëhö:di’		t-ö-s-a-yo-kënhöti-’
arrival_of_spring		ëswödi’no’t		ë-s-wati-’no’-t
arrival_of_spring		gái’sdi:yo:h		ka-ri’st-iyo-:h
arrival_of_spring		ëhsádi:wátö:da:t		ë-hs-at-rihw-athöt-a-t-0
arrival_of_spring		o’wádiät		o’-wati-hraht-0
arrival_of_spring		o’gä:s’ah		o-’karah-s-’ah
arrival_of_spring		sá:diät		s-a-hati-hraht-0
arrival_of_spring		sawádiät		s-a-wati-hraht-0
arrival_of_spring		Awëdetgä:de’		aw-ëtetkarat-e’
arrival_of_spring		söhe’		s-önhe-’
arrival_of_spring		dewagadawënye:h		te-wak-at-awënye-:h
arrival_of_spring		yöëdza’geh		y-öhwëts-a’keh
arrival_of_spring		wa:ëni’		wa’-hën-i-’
arrival_of_spring		deyögwë:hsi’dágë’sähgöh		te-yökw-ër-ahsi’t-a-kë’srahk-öh
arrival_of_spring		agátö:de’		wak-athöt-e’
arrival_of_spring		shadiäta’		s-hati-hraht-ha’
arrival_of_spring		nö’ö:wëh		n-a’-yaw-ëh-0
arrival_of_spring		gya’da:gö:h		k-ya’t-akö:h
arrival_of_spring		Sahsadögwe:’		s-a-hs-atökwe-:’
arrival_of_spring		nö’ö:wëh		n-a’-yaw-ëh-0
arrival_of_spring		Sahsóshi:ya’k		s-a-hs-oshr-iya’k-0
arrival_of_spring		sawádäshäga’tši’		s-a-w-atrahshr-a-ka’tsh-i’
arrival_of_spring		goshe:ka:’		k-oshre-kha:’
stonecoat		ónëhji		onëh-tsi
stonecoat		hënö́tšyonya:nö		hën-at-hyonya-nö-h
stonecoat		adigëhjíshö'ö		hati-këhtsi-shö'öh
stonecoat		ökhionyá:nö		ökhi-onya-nö-h
stonecoat		niyáwë'ö		ni-yaw-ë'-ö
stonecoat		wáënötšyo:wi:'		wa-ën-at-hyowi:-'
stonecoat		hodiyéi'ö		hoti-yei-'-ö
stonecoat		honö́tga'de'		hon-öt-ka'te-'
stonecoat		wa'ökhí:önyë'		wa'-ökhi-öny-ë-'
stonecoat		hönö́tšyo:wi:		hön-öt-hyowi-:
stonecoat		ënödo:wä:s		hën-atowä:-s
stonecoat		waënödówätha'		wa-ën-atowät-ha-'
stonecoat		wáënöhdë:di'		wa-ën-ahtëti-'
stonecoat		ënögwe'dase'shö́'öh		hën-ökwe't-ase'-shö'ö
stonecoat		onö́ga'de		on-at-ka'te-'
stonecoat		ganyo:'		ka-nyo:'
stonecoat		wa:dinyo'		wa-:ti-nyo-'
stonecoat		shadí:awi'		s-hati-awi-'
stonecoat		sa:di:yö'		sa-ati-yö-'
stonecoat		gá:ögwa		ka-ökwa
stonecoat		odígehde'		hoti-kehte-'
stonecoat		shënö́tha:ine'		s-hën-öt-ha:-ine-'
stonecoat		niyódöhö:dö		ni-yo-tohö:tö-'
stonecoat		ha'de:yö:		ha'-te-y-ö-:
stonecoat		wa:dinyo'		wa-ati-nyo-'
stonecoat		o'šyohsa'		o-syohs-a'
stonecoat		dó:di'hojë:yö:		te-oti-'hotyëye:k-ö
stonecoat		o'wá:'		o-'wa-:'
stonecoat		ë́ganiya:yë:'		ë-ka-niya-yë-'
stonecoat		dö:nödë́:dzo:ni:		t-on-ötëëtso-ni-h
stonecoat		gakhwa'		ka-khw-a'
stonecoat		wa:gö'		w-ak-ö'
stonecoat		ha'de:yö:		ha'-te-y-ö-h
stonecoat		o'wa:'shö́'ö		o-'wa-:'-shö'ö
stonecoat		da'á:di:nyo'		ta'-a:-ati-nyo-'
stonecoat		o'thódi:'ä:wë:n		o'-t-hoti-'ewë:
stonecoat		ë:nödékhö:ni'		ë-ën-ate-kh-öni-'
stonecoat		niënödi		ni-ën-ödi-:
stonecoat		nö'o:da:'		n-o-'ët-a'
stonecoat		wa:ayö'		wa-a-yö-'
stonecoat		hö:gweh		h-ökwe
stonecoat		höwö:gë		höwö-këh
stonecoat		dae'		t-a-e-'
stonecoat		o'yö́nishe't		o-'yönishe't
stonecoat		nö'gë́:gwa:		nö'gë:-gwa:
stonecoat		hodinöda:yë'		hoti-nöt-á-yë-'
stonecoat		waë'		wa-a-i-'
stonecoat		geyë́ö:		ke-yë-ö:
stonecoat		ha'de:yö:		ha'-te-y-ö-:
stonecoat		ëgyö́:wöthas		ë-ky-öwöt-has
stonecoat		nëswa:ye:'		n-ë-swa-ye:-'
stonecoat		odö́hö:dö'		o-töhö:tö-'
stonecoat		hejíswa:a'		h-ë-tsi-sw-a:-'
stonecoat		gë́:nö:sgwa'		ka-inös-k-wa'
stonecoat		egya'dä́:je'se:k		ë-ky-ya't-ätyeht-'se'-k
stonecoat		niswa:je:h		ni-sw-at-yë-:
stonecoat		dëge:snye:'		t-ë-ke-snye-'
stonecoat		ëswa:nyo'		ë-swa-nyo-'
stonecoat		ëgadëdó:ek		ë-k-at-ëtoek
stonecoat		ëjíswahdë:di'		h-ë-tsi-sw-ahtëti-'
stonecoat		hëjíswa:a'		h-ë-tsi-sw-a:a-'
stonecoat		gagwe:gö		ka-kwek-ö
stonecoat		hodi:wanä́:gwa'ö		hoti-iwa-nëëkw-a'-ö
stonecoat		na'ot		na'-o-o't
stonecoat		wa:göyë:sdë'		wa-akö-yë-stë-'
stonecoat		dösáyoha:the'		t-ösa-yo-hathe-'
stonecoat		sáënöhdë:di'		sa-ën-ahtëti-'
stonecoat		sedéhjia'		sete-htsi-a'
stonecoat		saënödówätha'		s-a-ën-atowät-ha-'
stonecoat		wá:dinyo'		w-ati-nyo-'
stonecoat		há'de:yö:		ha'-te-y-ö-:
stonecoat		ganyó:'shö'ö		ka-nyo'-shö'ö
stonecoat		o'thádisnye:'		o'-t-hati-snye-'
stonecoat		nigayä:ge:h		ni-ka-yä-ke-:
stonecoat		wadëdó:ek		w-a-atëtoek
stonecoat		nijódöhö:dö'		ni-t-yo-töhötö-'
stonecoat		gë:nö:sgwa'		kë-nö:s-k-wa'
stonecoat		geyë́ö		ke-yë-ö
stonecoat		o'thá'hohšyo:yën		o'-t-ha-'hosh-oyëht
stonecoat		yö́ëdza'ge		yo-ëts-a'-ke
stonecoat		ho'ga:d		hö'-ka-at
stonecoat		wa:dëdó:ek		wa-a-atëtoek
stonecoat		niswú’u:		ni-s-w-u-'u:
stonecoat		ogwe:nyö:		o-kweni-ö
stonecoat		wá:di:a'		wa-ati-a-'
stonecoat		shonö́hdëjö:je'		s-hon-ahtëty-ötye'
stonecoat		shayá'da:d		s-ha-ya't-a:t
stonecoat		hojë́ösgö'		ho-atyëo-sk-ö-'
stonecoat		ha'da:yá'di:		ha'-ta-a-ya't-i-:
stonecoat		héniënödi:		hën-ökwe’t-ase’-shö’ö
stonecoat		ni:'		n-i:'
stonecoat		dé:no:e's		te-e-nöe-'s
stonecoat		a:yë:'		a:-ye-ë-'
stonecoat		hotgö'		h-otkö'
stonecoat		ha'de:yö:		ha'-te-ö-:
stonecoat		hayëdé:ih		ha-yëte-i
stonecoat		we:so'		w-eso-'
stonecoat		wa:göyá'dage:ha'		wa-akö-ya't-ø-keha-'
stonecoat		ojë́osgö'		ho-atyëo-sk-ö'
stonecoat		agegwé:nyö:		ake-kweny-öni-'
stonecoat		da'á:ö		ta'-a:-ö
stonecoat		a:khät		a:-kh-ä-t
stonecoat		në:ye'		n-ë-ye-'
stonecoat		osthö́:		o-sthö:
stonecoat		nö'ö:wë		n-ö'-ö-wëh
stonecoat		wógö:ek		w-o-köek
stonecoat		da'gwisdë'		ta'-kwistë'
stonecoat		do:ga'ë́yös'ö:'		t-o-ka'ëyö-s'-ö:-'
stonecoat		ga'sgwa:a'		ka-'skwa:-a'
stonecoat		hoja'dawí'dö'		ho-t-ya't-awi-'t-ö'
stonecoat		dáë'sga:'		t-a-e'skwa:-'
stonecoat		aksá'dase:'ah		ha-ksa't-ase:'-a
stonecoat		wá:dahset		w-a-at-ahse-t
stonecoat		gä́it		ka-äi-t
stonecoat		hodáhsehdö		ho-t-ahse-ht-ö
stonecoat		ögwé'dase:'		h-ökwe't-ase:-'
stonecoat		gä́ida'ge		ka-äit-a'-ke
stonecoat		ë́öwät		ë-öw-ä-t
stonecoat		dá:dahgo'		t-a-a-tah-ko-'
stonecoat		áögešyö:n		a-ökesy-ö:n
stonecoat		hoja'dawí'dö		ho-t-ya't-awi-'t-ö
stonecoat		wáë'		w-a-ë-'
stonecoat		o'nya'		o-'ny-a'
stonecoat		has'óhad'geh		ha-s'oht-a'-ke
stonecoat		héawe:no:		he-aw-e-no:-'
stonecoat		wáö:dö:'		w-a-aötö:'
stonecoat		ha:a'		ha-a:-'
stonecoat		dawátgesgo'		t-a-w-at-kesko-'
stonecoat		o'wáhdzadë'		o'-w-ahts-atë-'
stonecoat		gäidagö:		ka-äit-akö-:
stonecoat		thë'jö'		t-h-atyö-'
stonecoat		héowä'thë:h		hy-o-wä'thë-:h
stonecoat		ho'wáhdzadë'		h-o'-w-ahts-atë-'
stonecoat		da'á:ö		ta'-a:-o
stonecoat		a:tgö́sgaha:dë'		a:-a-t-kös-kahat-ë'
stonecoat		á:tga:tho'		h-a:-a-t-katho-'
stonecoat		áöwö:gë'		a:-öwö-kë-'
stonecoat		itha:t		t-ha-t
stonecoat		daödagaja'dën		t-aö-ta-k-at-ya't-eht-ën
stonecoat		dödäinígö'dzën		tö-ta-inikö'tsët
stonecoat		o'thánö'sko:da't		o'-t-ha-nö'skw-t-a't
stonecoat		wá:dakhe:'		w-a-takhe'-:
stonecoat		wa:e'		wa-a-e-'
stonecoat		dawáhdzadë'		t-a-w-ahts-atë-'
stonecoat		heodahséhdö		he-o-t-ashe-ht-ö
stonecoat		ósgawagö:		o-skaw-akö-:
stonecoat		nödá:de'		n-ö-t-a-e-'
stonecoat		hoyá'dasha:yë:h		ho-ya't-á-shayë-:
stonecoat		ogwe:nyö:		o-kweny-ö:
stonecoat		e:yänö́tgë:ni'		ë-ey-änöt-këni-'
stonecoat		ga:ë'		ka-ë-'
stonecoat		da:agwa't		t-a-a-kw-a't
stonecoat		do:ja'dë:dö		t-o-t-ya't-ët-ö
stonecoat		da'á:ö		ta'a:-ö
stonecoat		ö:dáë'ska:'		ö:-t-a-ë'ska'-:
stonecoat		osde'		o-ste-'
stonecoat		hoja'dawí'dö		ho-t-ya't-awi-'t-ö
stonecoat		waeyajë́ösgö:'		wa-ey-atyëö-sk-ö:-'
stonecoat		döda:eyö́'		t-ö-ta-ey-ö-'shö:
stonecoat		a:yögwaya'dágeha'		a:-yökwa-ya't-á-keha-'
stonecoat		hösá:e'		h-ö-sa-a-e-'
stonecoat		dehsádë:dzo:ni:		te-hs-at-ëëts-ni-h
stonecoat		döda:sha:		t-öta-s-ha:
stonecoat		agyá'dage:hë		ak-ya't-á-keh-ë
stonecoat		ögwaya'dágehë		okwa-ya't-á-keh-ë
stonecoat		wa:yadí:wis'a:'		w-ay-at-iw-ihsa'-:
stonecoat		ësge:gë's		ë-ske-kë-'s
stonecoat		yeksá'go:wa:		ye-ksa'-kowa:
stonecoat		ëyö́khni:nya:g		ë-yökhni-nyak-:
stonecoat		dëtgö:yö'		t-ë-t-köy-ö-'
stonecoat		waiwís'a:'		w-a-is-is'a'-:
stonecoat		agegwe:nyö:		ake-kweny-ö
stonecoat		ëgö:gë's		ë-kö-kë-'s
stonecoat		ëkhe:gë'		ë-khe-kë-'
stonecoat		ëtkhéyawi'		ë-t-khey-awi-'
stonecoat		wa:ya:di:wís'a:'		w-ay-at-iw-is'a'-:
stonecoat		sayo:hë't		s-a-yo-hë'-t
stonecoat		hënö́tha:ine'		hën-öt-ha-ine-'
stonecoat		si:gwa:		si-kwa:
stonecoat		josgawayë'		t-yo-skaw-á-yë-'
stonecoat		ëdwásgawa:gë't		ë-twa-skaw-á-kë'-t
stonecoat		jagwanöge'		t-yakwa-nöke-'
stonecoat		hë:ge:'		hë-k-e'-:
stonecoat		tga'sgwe:odö'		t-ka-'skwe-otö'
stonecoat		sheyénökhah		she-nök-hä
