"Language","Model","Metric","Data","Mean","CI25","CI975"
"Seneca (grammar)","Baseline","Accuracy",1,87.28,85.86,88.67
"Seneca (grammar)","Baseline","F1",1,93.63,92.47,94.75
"Seneca (grammar)","Baseline","Distance",1,0.38,0.33,0.44
"Seneca (grammar)","Baseline","Accuracy",2,88.5,87.15,89.82
"Seneca (grammar)","Baseline","F1",2,94.34,93.2,95.47
"Seneca (grammar)","Baseline","Distance",2,0.32,0.27,0.36
"Seneca (grammar)","Baseline","Accuracy",3,87.34,85.91,88.71
"Seneca (grammar)","Baseline","F1",3,93.69,92.56,94.79
"Seneca (grammar)","Baseline","Distance",3,0.39,0.33,0.45
"Seneca (grammar)","Baseline","Accuracy",4,87.6,86.18,88.99
"Seneca (grammar)","Baseline","F1",4,93.98,92.86,95.09
"Seneca (grammar)","Baseline","Distance",4,0.39,0.33,0.45
"Seneca (grammar)","Baseline","Accuracy",5,86.16,84.75,87.56
"Seneca (grammar)","Baseline","F1",5,93.19,92.04,94.37
"Seneca (grammar)","Baseline","Distance",5,0.39,0.34,0.44
"Seneca (grammar)","Baseline","Accuracy",6,86.74,85.31,88.16
"Seneca (grammar)","Baseline","F1",6,93.38,92.27,94.51
"Seneca (grammar)","Baseline","Distance",6,0.4,0.35,0.46
"Seneca (grammar)","Baseline","Accuracy",7,88.35,86.96,89.68
"Seneca (grammar)","Baseline","F1",7,94.14,93.01,95.28
"Seneca (grammar)","Baseline","Distance",7,0.41,0.35,0.47
"Seneca (grammar)","Baseline","Accuracy",8,85.95,84.48,87.43
"Seneca (grammar)","Baseline","F1",8,92.92,91.78,94.04
"Seneca (grammar)","Baseline","Distance",8,0.44,0.38,0.5
"Seneca (grammar)","Baseline","Accuracy",9,86.96,85.54,88.35
"Seneca (grammar)","Baseline","F1",9,93.45,92.32,94.59
"Seneca (grammar)","Baseline","Distance",9,0.4,0.35,0.46
"Seneca (grammar)","Baseline","Accuracy",10,87.38,85.95,88.76
"Seneca (grammar)","Baseline","F1",10,93.48,92.35,94.6
"Seneca (grammar)","Baseline","Distance",10,0.42,0.36,0.49
